Date,Open,High,Low,Close,Volume
2001-07-31,82.1319,83.2723,81.9962,82.3695,11918100
2001-08-01,82.7904,83.2859,82.5053,82.8854,11940800
2001-08-02,83.6456,83.6592,82.7361,83.2248,11070100
2001-08-03,83.0551,83.0551,82.0641,82.7700,10816300
2001-08-06,82.3695,82.4781,81.5210,81.6568,8550100
2001-08-07,81.6364,82.2677,81.3921,81.9758,8865100
2001-08-08,81.5346,82.2406,80.3875,80.4554,15183800
2001-08-09,80.5708,80.7540,80.0006,80.6929,14118500
2001-08-10,80.6386,81.3446,79.6476,80.9712,11173300
2001-08-13,81.1817,81.3514,80.6454,80.9916,7431600
2001-08-14,81.5482,81.6907,80.6386,80.9577,13178100
2001-08-15,80.9305,81.1884,80.1499,80.2585,8520600
2001-08-16,79.9599,80.6047,79.4168,80.5368,10734700
2001-08-17,79.8580,80.0074,78.7449,79.2471,11604600
2001-08-20,79.2811,80.0277,79.1114,79.9802,10417400
2001-08-21,79.9599,80.4622,78.6023,78.6159,14480800
2001-08-22,79.2471,79.7087,78.5887,79.4304,11752300
2001-08-23,79.3897,79.7698,79.0707,79.1453,8744100
2001-08-24,79.5594,80.8626,79.2404,80.7880,11687700
2001-08-27,80.7540,80.9101,80.2721,80.3060,7425100
2001-08-28,80.2857,80.4282,79.1318,79.1318,12046600
2001-08-29,79.5051,79.5390,78.1747,78.4258,16180000
2001-08-30,77.9575,78.5616,76.0501,76.9189,17692600
2001-08-31,76.9732,77.9032,76.7900,77.4823,15985400
2001-09-04,77.2787,78.8535,76.9529,76.9868,24473400
2001-09-05,77.1769,77.5095,75.9890,77.1769,21477100
2001-09-06,76.4642,76.9054,75.1881,75.1881,21653000
2001-09-07,74.6790,75.5139,73.7355,73.7966,33133900
2001-09-10,73.1042,74.9030,73.1042,74.6993,23408700
2001-09-17,68.5564,72.2218,67.8776,70.7964,32388700
2001-09-18,70.8167,71.4752,70.1583,70.6267,22029200
2001-09-19,70.6606,70.9321,66.9002,69.2013,42771800
2001-09-20,68.1492,69.1062,66.9002,67.0020,36210900
2001-09-21,64.2378,67.4469,63.9107,66.2818,49782100
2001-09-24,67.9443,68.9255,67.4946,68.6121,25549600
2001-09-25,68.6461,69.4978,68.0670,69.3275,25466200
2001-09-26,69.7363,69.7704,68.4281,69.0822,18587500
2001-09-27,68.9868,69.6954,68.1351,69.6818,20536800
2001-09-28,70.1655,74.6897,69.8385,71.1603,21687200
2001-10-01,70.7924,71.0785,70.0633,71.0445,20457400
2001-10-02,70.8605,71.9371,70.6220,71.9371,19833100
2001-10-03,71.2693,73.5042,71.0990,73.1430,32045800
